""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"mean"	"sd"
"chr10-50"	"chr10"	50000001	51000000	"."	1000000	2.12287194670614	1.96235294117647	2.21707060063224	2.02695417789757	1.95664467483506	2.12536162005786	1.94364051789794	1.909426987061	2.00160642570281	2.11917098445596	2.05206286836935	2.0135593220339	2.00852272727273	1.92079207920792	2.10276923076923	2.03218714027175	0.0893638787736185
"chr10-51"	"chr10"	51000001	52000000	"."	1000000	1.80310880829016	1.93725490196078	1.90937829293994	2.12129380053908	1.91140433553252	2.2198649951784	2.2010662604722	1.8354898336414	1.89236947791165	1.80051813471503	1.83005893909627	1.95593220338983	1.98011363636364	2.23762376237624	1.92369230769231	1.9706113126733	0.151477450173095
"chr10-52"	"chr10"	52000001	53000000	"."	1000000	1.89785344189489	2.13647058823529	1.89041095890411	2.08625336927224	2.03770028275212	2.12921890067502	2.04265041888804	1.90203327171904	2.01285140562249	1.81088082901554	1.94499017681729	2.04067796610169	2.02556818181818	2.17821782178218	1.83630769230769	1.99813902038706	0.112698542262718
"chr10-53"	"chr10"	53000001	54000000	"."	1000000	2.06365655070318	1.93725490196078	1.70495258166491	2.11320754716981	1.88501413760603	1.96142719382835	2.03960396039604	1.90203327171904	2.01285140562249	1.93523316062176	1.83300589390963	2.20338983050847	2.07386363636364	1.94059405940594	1.85907692307692	1.96434433697047	0.124534066865003
"chr10-54"	"chr10"	54000001	55000000	"."	1000000	1.89785344189489	1.84627450980392	1.78714436248683	2.04312668463612	1.91517436380773	2.09257473481196	2.08987052551409	1.84288354898336	1.93092369477912	1.83678756476684	1.77504911591356	2.11525423728814	1.92329545454545	2.20792079207921	1.77907692307692	1.93888066362588	0.138085109330597
"chr10-55"	"chr10"	55000001	56000000	"."	1000000	1.76757957068838	1.77882352941176	1.6754478398314	1.70619946091644	1.85108388312912	2.05593056894889	1.89489718202589	1.8354898336414	1.99196787148594	1.68911917098446	1.67976424361493	2.07457627118644	2.18465909090909	2.00990099009901	1.77784615384615	1.86488571071462	0.163125898408419
"chr10-56"	"chr10"	56000001	57000000	"."	1000000	1.88897113249445	1.77725490196078	1.75763962065332	1.98382749326146	1.91517436380773	2.12150433944069	1.78979436405179	1.8354898336414	2.01927710843374	1.89637305699482	1.88212180746562	2.03389830508475	2.13920454545455	1.96039603960396	1.86276923076923	1.92424640954122	0.117718085940624
"chr10-57"	"chr10"	57000001	58000000	"."	1000000	2	1.89019607843137	1.80821917808219	2.13477088948787	1.94910461828464	1.94792671166827	1.9025133282559	1.69316081330869	1.95020080321285	1.83678756476684	1.83202357563851	2.02372881355932	2.10227272727273	2.07920792079208	1.87876923076923	1.93525881690203	0.120241563463911
"chr10-58"	"chr10"	58000001	59000000	"."	1000000	2.01184307920059	2.0078431372549	2.17492096944152	2.07277628032345	1.9679547596607	2.03857280617165	2.05483625285605	1.9630314232902	2.06746987951807	1.98445595854922	1.95186640471513	2.05084745762712	1.92329545454545	2.22772277227723	1.94461538461538	2.02947013466978	0.0847101929800821
"chr10-59"	"chr10"	59000001	60000000	"."	1000000	1.93042190969652	2.12705882352941	2.07165437302424	2.1644204851752	2.00942507068803	2.09257473481196	1.91012947448591	1.86876155268022	2.04979919678715	2.02331606217617	1.93123772102161	2.09830508474576	2.11363636363636	2.57425742574257	1.91938461538462	2.05895885957238	0.169362215873789
"chr10-60"	"chr10"	60000001	61000000	"."	1000000	2.06069578090303	1.87137254901961	2.15595363540569	2.06199460916442	2.0923656927427	1.99614271938284	2.09444021325209	1.85582255083179	2.10281124497992	2.00518134715026	1.89980353634578	2.3864406779661	1.95170454545455	2	1.91692307692308	2.03011014530146	0.134231648961007
"chr10-61"	"chr10"	61000001	62000000	"."	1000000	1.97039230199852	1.94196078431373	1.96206533192835	1.95956873315364	2.00754005655042	1.95949855351977	2.09444021325209	2.02957486136784	2.01124497991968	2.17357512953368	1.79960707269155	1.96610169491525	2.04545454545455	2.23762376237624	2.05907692307692	2.01451499627015	0.103244477005292
"chr10-62"	"chr10"	62000001	63000000	"."	1000000	1.94670614359734	2.05490196078431	1.99157007376185	2.07008086253369	2.05843543826579	1.86113789778206	1.95582635186596	2.05545286506469	1.92931726907631	1.83678756476684	1.99607072691552	2.19661016949153	2.07102272727273	1.64356435643564	2.04430769230769	1.9807861399948	0.130214683513335
"chr10-63"	"chr10"	63000001	64000000	"."	1000000	1.97335307179867	1.88392156862745	2.22550052687039	2.13477088948787	1.97737983034873	2	2.12338156892612	1.95009242144177	2.10441767068273	2.19170984455959	2.0147347740668	1.83050847457627	1.97727272727273	2.06930693069307	2.01476923076923	2.03140796867476	0.109793572157078
"chr10-64"	"chr10"	64000001	65000000	"."	1000000	2.00296076980015	1.92470588235294	1.84404636459431	1.95956873315364	1.94344957587182	2.18900675024108	2.00609291698401	1.89279112754159	2.085140562249	1.92487046632124	1.88998035363458	1.87457627118644	2.10511363636364	1.94059405940594	1.90338461538462	1.96575213900567	0.0960409487667756
"chr10-65"	"chr10"	65000001	66000000	"."	1000000	1.94226498889711	1.78352941176471	1.76606954689146	1.89487870619946	1.96418473138549	1.98649951783992	1.99390708301599	1.81330868761553	1.99518072289157	1.79274611398964	1.88899803536346	1.91864406779661	1.92045454545455	1.82178217821782	1.75323076923077	1.88237860710361	0.0868917317981685
"chr10-66"	"chr10"	66000001	67000000	"."	1000000	1.89045151739452	1.99686274509804	1.77449947312961	1.92183288409704	1.98303487276155	1.91899710703954	1.87509520182788	1.87985212569316	1.86024096385542	1.87823834196891	1.76522593320236	1.95593220338983	1.85227272727273	2.03960396039604	1.86276923076923	1.89699395252639	0.0757566794845694
"chr10-67"	"chr10"	67000001	68000000	"."	1000000	2.03700962250185	1.98274509803922	1.9536354056902	1.87870619946092	1.91328934967012	1.99228543876567	1.95582635186596	1.84473197781885	2.06104417670683	1.96113989637306	2.0049115913556	2.15254237288136	2.05965909090909	2.26732673267327	1.90461538461538	1.99796457928849	0.108481629461526
"chr10-68"	"chr10"	68000001	69000000	"."	1000000	2.0680977054034	1.9356862745098	2.06322444678609	1.90835579514825	2	1.80906460945034	1.93450114242193	1.92606284658041	2.07389558232932	2.18134715025907	1.94597249508841	2.08474576271186	1.81818181818182	1.86138613861386	1.91015384615385	1.96804504090923	0.10719075975541
"chr10-69"	"chr10"	69000001	70000000	"."	1000000	2.04441154700222	2.16156862745098	2.2550052687039	2.02695417789757	2.1262959472196	1.94406943105111	2.06397562833206	2.18669131238447	1.99839357429719	2.05440414507772	2.13163064833006	2.0135593220339	2.18181818181818	2.66336633663366	2.17107692307692	2.13488140475397	0.169413795867775
"chr10-70"	"chr10"	70000001	71000000	"."	1000000	2.15988156920799	2.26980392156863	2.21074815595364	1.91913746630728	2.10933081998115	2.20057859209257	2.05483625285605	2.05914972273567	2.06265060240964	2.26943005181347	2.26326129666012	2.11864406779661	2.10227272727273	1.98019801980198	2.27015384615385	2.13667180750743	0.110695293544276
"chr10-71"	"chr10"	71000001	72000000	"."	1000000	2.079940784604	2.0643137254902	2.22339304531085	2.32345013477089	2.01131008482564	1.94021215043394	1.94211728865194	2.23844731977819	1.86987951807229	2.01554404145078	2.28290766208251	2.04067796610169	2.07670454545455	2.06930693069307	2.33353846153846	2.10078291061727	0.145749952381637
"chr10-72"	"chr10"	72000001	73000000	"."	1000000	2.05181347150259	2.04392156862745	2.21707060063224	1.8733153638814	1.95287464655985	2.00385728061717	2.14470677837014	1.96487985212569	2.01927710843374	2.03886010362694	2.14931237721022	1.92203389830508	1.93181818181818	1.85148514851485	1.98707692307692	2.0101535535535	0.10273827980736
"chr10-73"	"chr10"	73000001	74000000	"."	1000000	2.03700962250185	2.05803921568627	1.98314014752371	2.18867924528302	1.97737983034873	2.1099324975892	1.99390708301599	1.85951940850277	1.94859437751004	2.01813471502591	2.14440078585462	2.2135593220339	2.17045454545455	1.94059405940594	2.00553846153846	2.04325888781833	0.102457733422828
"chr10-74"	"chr10"	74000001	75000000	"."	1000000	1.97779422649889	1.92313725490196	1.79557428872497	1.97843665768194	1.89820923656927	1.87270973963356	1.95887281035796	1.87430683918669	1.90682730923695	2.20466321243523	1.88015717092338	1.88474576271186	2.12784090909091	2.26732673267327	2.02584615384615	1.9717632202982	0.132944511771169
"chr10-75"	"chr10"	75000001	76000000	"."	1000000	2.00740192450037	1.98274509803922	2.08429926238145	2.07547169811321	2.00377002827521	2.03471552555448	2.001523229246	2.11460258780037	1.92449799196787	1.82124352331606	2.15029469548134	2.09152542372881	2.00852272727273	1.85148514851485	2.15815384615385	2.02068351402305	0.0988703941602277
"chr10-76"	"chr10"	76000001	77000000	"."	1000000	1.98223538119911	2.25254901960784	2.16859852476291	1.79245283018868	2	1.91899710703954	2.07311500380807	2.07578558225508	2.26345381526104	2.04663212435233	1.96365422396857	1.92542372881356	2.03409090909091	1.77227722772277	2.06707692307692	2.02242282674316	0.141847787368198
"chr10-77"	"chr10"	77000001	78000000	"."	1000000	2.07846039970392	2.11450980392157	2.02107481559536	2.22102425876011	2.05466540999057	2.14850530376085	2.05940594059406	2.28465804066543	2.01285140562249	2.03626943005181	2.15618860510805	2.08813559322034	1.81818181818182	1.71287128712871	2.09169230769231	2.05989962799983	0.141899848641871
"chr10-78"	"chr10"	78000001	79000000	"."	1000000	2.15099925980755	2.18666666666667	2.03371970495258	2.23719676549865	2.19038642789821	2.14464802314368	1.91012947448591	2.20887245841035	2.1140562248996	2.29533678756477	2.37721021611002	2.05423728813559	2.06534090909091	1.75247524752475	2.18892307692308	2.12734656874082	0.152913026577479
"chr10-79"	"chr10"	79000001	80000000	"."	1000000	2.18652849740933	2	2.1159114857745	1.82210242587601	1.9679547596607	1.83027965284474	2.11728865194212	2.09796672828096	1.99036144578313	2.0440414507772	2.1385068762279	1.70847457627119	1.83522727272727	1.65346534653465	2.16553846153846	1.97824317544321	0.170462519642312
"chr10-80"	"chr10"	80000001	81000000	"."	1000000	2.0340488527017	2.06274509803922	2.21074815595364	2.08086253369272	2.10556079170594	1.92092574734812	1.98629093678599	2.13678373382625	2.01927710843374	2.48445595854922	2.1090373280943	1.92203389830508	2.17045454545455	2.14851485148515	2.11507692307692	2.10045443089684	0.13584868379361
"chr10-81"	"chr10"	81000001	82000000	"."	1000000	2.13619541080681	1.88392156862745	1.64805057955743	1.99460916442049	1.98491988689915	2.15621986499518	1.96953541507997	1.94085027726433	2.10120481927711	1.82124352331606	1.8467583497053	2.03728813559322	2.17045454545455	1.62376237623762	1.83569230769231	1.94338041499513	0.169362089825254
"chr10-82"	"chr10"	82000001	83000000	"."	1000000	2.07549962990378	1.94509803921569	1.86933614330875	1.91374663072776	2.02450518378888	2.03085824493732	2.07463823305407	1.9445471349353	2.08353413654618	1.92227979274611	1.91257367387033	2.13220338983051	1.85795454545455	1.88118811881188	2.04123076923077	1.98061291109079	0.0894109579740909
"chr10-83"	"chr10"	83000001	84000000	"."	1000000	2.039970392302	1.94823529411765	1.94942044257113	2.04851752021563	2.05089538171536	1.9556412729026	2.01827875095202	1.86876155268022	1.9566265060241	1.98704663212435	1.91944990176817	2.06440677966102	2.02272727272727	2.3960396039604	1.93538461538462	2.01076012794044	0.120650936455168
"chr10-84"	"chr10"	84000001	85000000	"."	1000000	2.04145077720207	2.17725490196078	1.96206533192835	2.17520215633423	2.062205466541	2.11764705882353	2.11271896420411	1.86876155268022	2.0578313253012	1.95077720207254	2.21709233791749	2.25762711864407	1.99147727272727	2.01980198019802	2.06030769230769	2.07148140925617	0.106783426940141
"chr10-85"	"chr10"	85000001	86000000	"."	1000000	1.98667653589933	2.13647058823529	1.97471022128556	2.15633423180593	1.95475966069746	1.98264223722276	2.08073115003808	1.86876155268022	1.99839357429719	2.05181347150259	2.03634577603143	2.05423728813559	1.81534090909091	2.31683168316832	2.06523076923077	2.03195197662143	0.119625326293651
"chr10-86"	"chr10"	86000001	87000000	"."	1000000	2.09918578830496	1.96235294117647	1.9072708113804	1.84636118598383	1.99245994344958	1.92478302796528	1.96953541507997	2.22920517560074	2.00642570281124	2.09585492227979	2.22593320235756	1.8	2	2.03960396039604	2.16738461538462	2.01775711281137	0.127550517457217
"chr10-87"	"chr10"	87000001	88000000	"."	1000000	1.97779422649889	1.97490196078431	2.04847207586934	1.83288409703504	1.98868991517436	1.96142719382835	1.9009900990099	2.03512014787431	2.03212851405622	2.16839378238342	1.96758349705305	1.87796610169492	1.99147727272727	2.07920792079208	1.94153846153846	1.98523835108799	0.0827560692828083
"chr10-88"	"chr10"	88000001	89000000	"."	1000000	2.14507772020725	1.99529411764706	2.12644889357218	1.90026954177898	2.01508011310085	1.99614271938284	2	1.99260628465804	2.00481927710843	1.99740932642487	1.975442043222	1.89830508474576	1.97443181818182	1.84158415841584	1.89723076923077	1.98400945784511	0.0805128129632186
"chr10-89"	"chr10"	89000001	90000000	"."	1000000	2.12287194670614	2.18823529411765	2.21285563751317	2.08086253369272	1.89255419415646	1.93249758919961	1.96191926884996	2.09242144177449	1.9855421686747	1.94818652849741	2.10216110019646	2.07457627118644	2.08238636363636	1.6039603960396	1.99076923076923	2.01811999766736	0.14787944008
"chr10-90"	"chr10"	90000001	91000000	"."	1000000	2.00740192450037	2.01254901960784	1.84615384615385	2.00269541778976	2.03581526861451	1.94792671166827	1.92688499619193	2.14232902033272	2.03212851405622	2.06217616580311	1.97838899803536	2.15593220338983	2.04829545454545	2.07920792079208	1.98276923076923	2.01737697948337	0.0790748938069816
"chr10-91"	"chr10"	91000001	92000000	"."	1000000	2.13175425610659	2.04078431372549	2.02107481559536	1.92991913746631	2.24128180961357	1.98649951783992	2.03351104341203	1.93530499075786	1.94538152610442	2.09067357512953	1.9705304518664	2.07118644067797	2.03693181818182	1.99009900990099	1.97723076923077	2.02681089837394	0.0829907608585043
"chr10-92"	"chr10"	92000001	93000000	"."	1000000	1.96743153219837	2.08	2.03582718651212	1.98382749326146	1.9698397737983	2.13500482160077	1.88423457730388	1.87800369685767	2.02248995983936	2.07253886010363	2.05304518664047	1.97627118644068	1.97159090909091	1.95049504950495	1.92123076923077	1.99345540015889	0.072894727886895
"chr10-93"	"chr10"	93000001	94000000	"."	1000000	2.05625462620281	2.12862745098039	2.14120126448894	2.07277628032345	2.07163053722903	1.96528447444552	1.99086062452399	2.10166358595194	2.00160642570281	2.01554404145078	2.1139489194499	1.96949152542373	2.08806818181818	1.94059405940594	2.10646153846154	2.05093423572393	0.0652264778709586
"chr10-94"	"chr10"	94000001	95000000	"."	1000000	1.97631384159882	2.07372549019608	1.82297154899895	1.99460916442049	2.16211121583412	2.07521697203472	1.95430312261995	1.87430683918669	2.0578313253012	1.89378238341969	1.99803536345776	1.96271186440678	2.12215909090909	1.73267326732673	2.00492307692308	1.98037830444228	0.114594202445505
"chr10-95"	"chr10"	95000001	96000000	"."	1000000	1.91117690599556	2.02352941176471	2.12223393045311	1.94609164420485	1.99622997172479	1.94985535197686	1.97562833206398	2.04066543438078	1.98875502008032	2.01554404145078	1.98133595284872	1.90847457627119	1.98863636363636	1.95049504950495	2.09292307692308	1.99277167088533	0.0601135416825856
"chr10-96"	"chr10"	96000001	97000000	"."	1000000	2.10066617320503	1.9121568627451	2.09062170706006	1.86792452830189	2.15457115928369	1.98264223722276	2.03960396039604	1.909426987061	1.92931726907631	2.2279792746114	2.1139489194499	2.07118644067797	2.04261363636364	2.18811881188119	2.00061538461538	2.04209289013009	0.107942471299988
"chr10-97"	"chr10"	97000001	98000000	"."	1000000	1.99111769059956	2.04235294117647	2.05268703898841	1.9622641509434	2.08482563619227	2.03085824493732	1.88728103579589	2.17005545286506	1.88433734939759	2.01813471502591	2.27504911591356	2.10169491525424	2.09090909090909	1.88118811881188	2.16369230769231	2.04242985363353	0.112667883026622
"chr10-98"	"chr10"	98000001	99000000	"."	1000000	1.90969652109548	1.94823529411765	2.14330874604847	2.08894878706199	1.90386427898209	2.11571841851495	2.04874333587205	2.18299445471349	2.07068273092369	2.03108808290155	2.04911591355599	1.95254237288136	1.84943181818182	2.16831683168317	2.04553846153846	2.03388173653815	0.101510702913627
"chr10-99"	"chr10"	99000001	100000000	"."	1000000	2.06365655070318	2.09254901960784	1.93677555321391	2.09703504043127	1.98114985862394	1.95178399228544	2.07768469154608	2.03142329020333	2.06265060240964	2.10880829015544	1.97740667976424	2.05423728813559	1.86079545454545	2.13861386138614	2.08984615384615	2.03496108845718	0.077126709410848
"chr10-100"	"chr10"	100000001	101000000	"."	1000000	2.11547002220577	1.98117647058824	2.14541622760801	1.96495956873315	1.98680490103676	1.87270973963356	1.95430312261995	2.17929759704251	1.85060240963855	1.98704663212435	2.28290766208251	2.18305084745763	1.98295454545455	2.01980198019802	2.13107692307692	2.04250524330003	0.123482009719181
"chr10-101"	"chr10"	101000001	102000000	"."	1000000	2.09474463360474	2.14901960784314	1.99157007376185	2.04312668463612	2.0320452403393	1.94021215043394	2.05178979436405	2.12569316081331	1.89718875502008	1.91709844559585	2.20137524557957	2.07796610169492	2.05681818181818	1.94059405940594	2.144	2.0442161423274	0.0919773601232016
"chr10-102"	"chr10"	102000001	103000000	"."	1000000	1.95854922279793	2.10352941176471	1.95152792413066	2	1.85485391140434	1.96142719382835	2.01218583396801	2.06284658040665	1.94859437751004	1.96113989637306	2.13064833005894	2.05762711864407	1.78125	1.91089108910891	2.13907692307692	1.98894318753817	0.0997434405048239
"chr10-103"	"chr10"	103000001	104000000	"."	1000000	2.05181347150259	2.12862745098039	1.98524762908325	1.90835579514825	2.02073515551367	2.13693346190935	2.01980198019802	2.20887245841035	1.97590361445783	2.1580310880829	2.17485265225933	1.77966101694915	2.18465909090909	2.05940594059406	2.23815384615385	2.06873697681014	0.125127760446003
"chr10-104"	"chr10"	104000001	105000000	"."	1000000	1.920059215396	2.0643137254902	2.20231822971549	1.97574123989218	2.00377002827521	2.0443587270974	2.11424219345011	2.02218114602588	1.93092369477912	2.15284974093264	2.11296660117878	2.03050847457627	2.14772727272727	1.7029702970297	2.07138461538462	2.03308768013006	0.121926138385897
"chr10-105"	"chr10"	105000001	106000000	"."	1000000	2.0059215396003	2.0721568627451	1.9304531085353	2.1266846361186	2.32422243166824	2.20057859209257	1.88728103579589	2.19038817005545	2.04176706827309	1.92227979274611	2.09233791748527	2.03050847457627	2.06534090909091	2.16831683168317	2.05353846153846	2.07411838880031	0.116722479765299
"chr10-106"	"chr10"	106000001	107000000	"."	1000000	1.90377498149519	1.87450980392157	1.94099051633298	2.08894878706199	1.94721960414703	2.03471552555448	2.05331302361005	2.07393715341959	1.97911646586345	2.01554404145078	1.91748526522593	1.8	1.92613636363636	2.11881188118812	2.03753846153846	1.98080279162973	0.0892991093164564
"chr10-107"	"chr10"	107000001	108000000	"."	1000000	2.11695040710585	1.99529411764706	1.91359325605901	1.98921832884097	2.01885014137606	1.90356798457088	2.04112718964204	1.97042513863216	1.98714859437751	1.74870466321244	1.88212180746562	2.14915254237288	2.05397727272727	2.05940594059406	2.01969230769231	1.98994864615441	0.0993815517420368
"chr10-108"	"chr10"	108000001	109000000	"."	1000000	2.12583271650629	1.87921568627451	1.86722866174921	2.0377358490566	1.89066918001885	2.1427193828351	1.96953541507997	1.77079482439926	2.06907630522088	2.09585492227979	1.94302554027505	1.93559322033898	2.07670454545455	2.02970297029703	1.968	1.98677928131907	0.107498228071196
"chr10-109"	"chr10"	109000001	110000000	"."	1000000	2.08142116950407	2.02196078431373	1.99578503688093	2.05929919137466	1.98303487276155	1.92864030858245	1.96496572734196	2.02218114602588	2.0144578313253	1.94559585492228	2.07269155206287	2.07796610169492	1.97443181818182	2.02970297029703	2.13969230769231	2.02078844486412	0.0578448847864465
"chr10-110"	"chr10"	110000001	111000000	"."	1000000	2.06217616580311	2.07058823529412	2.35616438356164	2.15902964959569	2.09990574929312	1.89392478302797	2.01827875095202	2.06284658040665	1.89397590361446	2.0259067357513	2.03536345776031	2.13220338983051	2.07102272727273	1.9009900990099	2.03507692307692	2.05449690228336	0.116090623395408
"chr10-111"	"chr10"	111000001	112000000	"."	1000000	2.01776461880089	2.15372549019608	2.01264488935722	2.26145552560647	1.94910461828464	2.01350048216008	2.05635948210206	2.3086876155268	1.9855421686747	1.98704663212435	2.03634577603143	1.96271186440678	2.23295454545455	1.97029702970297	2.08061538461538	2.06858374153629	0.11584603489569
"chr10-112"	"chr10"	112000001	113000000	"."	1000000	2.10066617320503	2.10823529411765	2.10326659641728	1.99460916442049	2.05843543826579	2.05400192864031	1.95277989337395	2.03142329020333	1.97269076305221	2.00777202072539	2.07760314341847	1.9864406779661	2.10227272727273	2.24752475247525	2.04184615384615	2.05597120116001	0.0734796689999601
"chr10-113"	"chr10"	113000001	114000000	"."	1000000	2.02664692820133	2.25254901960784	2.32665964172813	2.00269541778976	2.10933081998115	1.97878495660559	2.03960396039604	2.16820702402957	1.99357429718876	2.19170984455959	2.17681728880157	2.07796610169492	2.13068181818182	2.04950495049505	2.19815384615385	2.11485906102766	0.10299501462787
"chr10-114"	"chr10"	114000001	115000000	"."	1000000	2.01924500370096	1.95607843137255	2.28451001053741	2.10512129380054	2.16022620169651	2.06364513018322	2.0959634424981	2.17375231053604	1.91164658634538	2.17357512953368	1.95284872298625	2.09491525423729	1.96022727272727	2.23762376237624	2.00676923076923	2.07974318555338	0.111896892183332
"chr10-115"	"chr10"	115000001	116000000	"."	1000000	1.85344189489267	1.90745098039216	1.80189673340358	1.8921832884097	2.04335532516494	2.15814850530376	1.98324447829398	1.86136783733826	2.16385542168675	1.91709844559585	1.90766208251473	1.7864406779661	1.94318181818182	1.74257425742574	1.95446153846154	1.92775755233544	0.122020152968651
"chr10-116"	"chr10"	116000001	117000000	"."	1000000	1.99259807549963	1.93411764705882	2.06322444678609	2.00539083557951	1.96606974552309	2.09836065573771	1.996953541508	2.1645101663586	1.98393574297189	2.20466321243523	1.99410609037328	1.90508474576271	1.90340909090909	1.82178217821782	2.06892307692308	2.00687528344297	0.100939196392656
"chr10-117"	"chr10"	117000001	118000000	"."	1000000	2.03849000740192	1.9843137254902	2.28451001053741	2.02964959568733	1.97549481621112	2.0327868852459	1.97562833206398	2.30129390018484	2.04176706827309	1.88860103626943	2.18467583497053	2.07796610169492	1.92329545454545	1.71287128712871	2.17292307692308	2.04161780884186	0.151936641023834
"chr10-118"	"chr10"	118000001	119000000	"."	1000000	2.05921539600296	2.11764705882353	1.99367755532139	2.10512129380054	2.21300659754948	2.11957569913211	1.98629093678599	2.17744916820702	1.99196787148594	2.02072538860104	2.02357563850688	1.94576271186441	2.03693181818182	1.79207920792079	2.00246153846154	2.03903252537636	0.101953635115951
"chr10-119"	"chr10"	119000001	120000000	"."	1000000	2.0680977054034	2.10980392156863	2.03582718651212	1.99191374663073	2.00754005655042	1.94406943105111	2.08225437928408	2.05914972273567	2	1.97150259067358	2.15029469548134	1.97966101694915	2.16193181818182	1.83168316831683	2.05415384615385	2.02985888569952	0.0842694707975774
"chr10-120"	"chr10"	120000001	121000000	"."	1000000	2.03256846780163	2.12705882352941	2.13698630136986	2.23989218328841	1.98114985862394	1.75699132111861	2.06549885757807	1.86321626617375	2.03855421686747	2.08031088082902	2.15029469548134	2.13898305084746	2.01704545454545	1.99009900990099	2.04184615384615	2.0440330361201	0.119170854215117
"chr10-121"	"chr10"	121000001	122000000	"."	1000000	2.12731310140637	2.00470588235294	2.18335089567966	2.05929919137466	1.95098963242224	1.96142719382835	1.98019801980198	2.2550831792976	2.02088353413655	2.13212435233161	2.19351669941061	2.08813559322034	2.01988636363636	1.81188118811881	2.07015384615385	2.05726324487813	0.112549427691653
"chr10-122"	"chr10"	122000001	123000000	"."	1000000	1.98667653589933	2.05490196078431	2.08640674394099	2.05390835579515	2.20735155513666	1.93635486981678	2.01980198019802	2.29574861367837	2.04658634538153	1.93782383419689	2.07269155206287	1.9864406779661	2.06818181818182	2.03960396039604	2.02523076923077	2.05451397151104	0.0934459418384362
"chr10-123"	"chr10"	123000001	124000000	"."	1000000	2.00148038490007	2.23372549019608	2.17070600632244	2.07277628032345	1.97926484448633	2.11378977820636	1.96496572734196	2.26432532347505	2.09799196787149	2.10880829015544	2.23182711198428	2.07118644067797	1.82386363636364	2.06930693069307	2.14092307692308	2.08966275266138	0.11615528235145
"chr10-124"	"chr10"	124000001	125000000	"."	1000000	2.11250925240563	2.11294117647059	2.12223393045311	1.96495956873315	2.124410933082	1.96142719382835	2.17060167555217	2.08133086876155	1.94056224899598	2.19430051813471	2.28683693516699	1.97966101694915	2.00568181818182	1.87128712871287	2.18707692307692	2.07438807923367	0.115522569228712
"chr10-125"	"chr10"	125000001	126000000	"."	1000000	2.11250925240563	2.16313725490196	2.29083245521602	2.04851752021563	2.00377002827521	2.10414657666345	1.98781416603199	2.17560073937153	2.04176706827309	2.26943005181347	2.18467583497053	2.11525423728814	1.98863636363636	2.13861386138614	2.12	2.11631369402994	0.0928093079205153
"chr10-126"	"chr10"	126000001	127000000	"."	1000000	2.09474463360474	2.12392156862745	2.10326659641728	2.10242587601078	2.17342130065976	1.97299903567985	2.05940594059406	2.15526802218115	2.05943775100402	2.17875647668394	2.07956777996071	2.04067796610169	1.95170454545455	2.38613861386139	2.19138461538462	2.11154138148173	0.103109921203886
"chr10-127"	"chr10"	127000001	128000000	"."	1000000	2.00888230940044	2.13490196078431	2.17913593256059	2.01078167115903	2.00565504241282	1.85342333654773	1.94364051789794	2.09242144177449	1.90522088353414	2.19948186528497	2.21611001964637	1.95254237288136	2.02840909090909	2.02970297029703	2.184	2.04962062767269	0.113408955963184
"chr10-128"	"chr10"	128000001	129000000	"."	1000000	2.10658771280533	2.17725490196078	1.87565858798736	1.92452830188679	2.10179076343073	1.86499517839923	2.11881188118812	2.16820702402957	2.04658634538153	2.26165803108808	2.31237721021611	2.09491525423729	2.07102272727273	2.11881188118812	2.232	2.09834705340478	0.130947241045799
"chr10-129"	"chr10"	129000001	130000000	"."	1000000	2.08290155440414	2.08627450980392	2.06533192834563	2.09703504043127	2.23562676720075	2.08678881388621	2.08377760853008	2.21072088724584	2.06104417670683	2.02331606217617	2.0049115913556	2.13559322033898	2.26420454545455	1.89108910891089	2.10338461538462	2.09546669534503	0.0928899501243528
"chr10-130"	"chr10"	130000001	131000000	"."	1000000	2.16580310880829	2.13333333333333	2.01264488935722	1.96765498652291	1.92459943449576	1.84763741562199	2.05940594059406	2.27171903881701	1.9421686746988	2.0440414507772	2.11984282907662	2	1.875	2.07920792079208	2.22276923076923	2.0443885502443	0.123736683346351
"chr10-131"	"chr10"	131000001	132000000	"."	1000000	2.03849000740192	2.15686274509804	2.26132771338251	2.26684636118598	1.97549481621112	2.03471552555448	2.02284843869002	2.16635859519408	2.03694779116466	2.02849740932642	2.20137524557957	1.89830508474576	2.12784090909091	1.95049504950495	2.22030769230769	2.09244755896254	0.115817528229204
"chr10-132"	"chr10"	132000001	133000000	"."	1000000	1.89045151739452	2.26509803921569	1.95785036880927	1.92722371967655	2.05655042412818	1.94021215043394	2.01980198019802	2.27171903881701	1.95341365461847	2.04145077720207	2.32220039292731	2.10508474576271	1.87215909090909	1.99009900990099	2.23692307692308	2.05668253246113	0.149635579218676
"chr10-133"	"chr10"	133000001	133797422	"."	797422	2.42635085122132	3.03529411764706	2.54583772391992	2.75202156334232	3.2196041470311	2.52844744455159	2.6031987814166	3.11460258780037	2.53172690763052	2.56217616580311	2.61296660117878	2.7864406779661	2.35227272727273	2.68316831683168	2.55015384615385	2.68695083065114	0.253252844924395
