""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"62720_S6_L001.bam"	"63120_S8_L001.bam"	"63220_S9_L001.bam"	"63320_S1_L001.bam"	"63420_S1_L001.bam"	"63520_S2_L001.bam"	"63620_S3_L001.bam"	"63720_S4_L001.bam"	"63820_S5_L001.bam"	"64820_S7_L001.bam"	"AML11_S6_L001.bam"	"AML12_S6_L001.bam"	"AML13_S7_L001.bam"	"AML14_S8_L001.bam"	"healthy1_S4_L001.bam"	"healthy2_S5_L001.bam"	"healthy3_S6_L001.bam"	"Kontrolle-karyotype_S6_L001.bam"	"WholeGenomeHealthy_S7_L001.bam"	"gc"	"bin"	"sum"	"norm.var"	"gc_blocked"	"norm.clean.var"	"var_blocked"	"norm.pat"
"1846"	"chr11-31"	"chr11"	31000001	32000000	"."	1000000	1326	1288	972	728	1083	1081	1313	1081	1237	720	1940	589	710	215	2908	2207	792	1236	849	0.376515	1846	22275	0.00649430368110773	FALSE	0.00434454364066099	FALSE	NA
"1847"	"chr11-32"	"chr11"	32000001	33000000	"."	1000000	1385	1299	953	694	1032	1033	1267	1159	1197	873	2044	620	680	197	3271	2251	808	1336	848	0.411687	1847	22947	0.00859193580436004	FALSE	0.00523078610236771	FALSE	NA
"1848"	"chr11-33"	"chr11"	33000001	34000000	"."	1000000	1333	1281	1062	801	1000	1120	1328	1122	1310	850	2054	565	680	230	3248	2270	823	1283	827	0.419543	1848	23187	0.0125593377225705	FALSE	0.0125593377225705	FALSE	NA
"1849"	"chr11-34"	"chr11"	34000001	35000000	"."	1000000	1325	1333	912	756	1077	1065	1313	1025	1167	812	2073	623	732	188	3349	2335	871	1253	874	0.424346	1849	23083	0.00727500916037972	FALSE	0.00727500916037972	FALSE	NA
"1850"	"chr11-35"	"chr11"	35000001	36000000	"."	1000000	1405	1291	1047	821	1105	1039	1396	1114	1344	835	2135	563	624	211	3426	2453	894	1229	901	0.418332	1850	23833	0.011534155106757	FALSE	0.00728696055543169	FALSE	NA
"1851"	"chr11-36"	"chr11"	36000001	37000000	"."	1000000	1444	1351	970	850	1207	1082	1298	1149	1246	814	2161	574	741	188	3442	2413	872	1338	814	0.413876	1851	23954	0.0102843351298383	FALSE	0.0102843351298383	FALSE	NA
"1852"	"chr11-37"	"chr11"	37000001	38000000	"."	1000000	1216	1170	919	725	1003	1000	1265	951	1123	799	1918	592	780	210	3043	2101	752	1197	813	0.3552	1852	21577	0.0152558770377098	FALSE	0.00931472763683869	FALSE	NA
"1853"	"chr11-38"	"chr11"	38000001	39000000	"."	1000000	1330	1226	852	705	1109	1170	1346	935	1347	587	1882	601	681	204	3018	2173	768	1130	783	0.352045	1853	21847	0.0288815693268589	FALSE	0.0196535969316778	FALSE	NA
"1854"	"chr11-39"	"chr11"	39000001	40000000	"."	1000000	1354	1168	888	757	1079	1050	1310	942	1249	762	1844	567	660	188	3052	2143	604	1168	770	0.364741	1854	21555	0.0196254205593008	FALSE	0.00917506248083883	FALSE	NA
"1855"	"chr11-40"	"chr11"	40000001	41000000	"."	1000000	1342	1294	981	786	1011	1127	1410	1058	1199	653	1949	646	702	198	3013	2226	766	1165	822	0.367466	1855	22348	0.0178436337874493	FALSE	0.0178436337874493	FALSE	NA
"1856"	"chr11-41"	"chr11"	41000001	42000000	"."	1000000	1301	1239	779	755	1002	1058	1427	1053	1290	749	1925	615	655	207	2986	2276	844	1190	816	0.368065	1856	22167	0.0143171354179207	FALSE	0.00932146806760461	FALSE	NA
"1857"	"chr11-42"	"chr11"	42000001	43000000	"."	1000000	1417	1240	867	803	1076	1074	1280	1086	1222	725	2079	586	767	219	3102	2207	809	1169	832	0.376081	1857	22560	0.0114433427655011	FALSE	0.0114433427655011	FALSE	NA
"1858"	"chr11-43"	"chr11"	43000001	44000000	"."	1000000	1308	1287	1027	753	1074	1066	1443	1047	1245	814	2086	627	644	206	3354	2192	816	1194	943	0.405845	1858	23126	0.0112596140487047	FALSE	0.0112596140487047	FALSE	NA
"1859"	"chr11-44"	"chr11"	44000001	45000000	"."	1000000	1526	1370	989	740	1116	1011	1360	1247	1240	746	2228	614	792	179	3674	2439	968	1424	806	0.477924	1859	24469	0.021970340466759	FALSE	0.021970340466759	FALSE	NA
"1860"	"chr11-45"	"chr11"	45000001	46000000	"."	1000000	1393	1284	948	715	1111	1054	1345	1336	1195	847	2418	662	726	184	3522	2435	954	1400	776	0.474198	1860	24305	0.0267259852336677	FALSE	0.0267259852336677	FALSE	NA
"1861"	"chr11-46"	"chr11"	46000001	47000000	"."	1000000	1418	1303	1015	725	1027	1000	1259	1129	1274	771	2141	574	650	244	3328	2226	863	1343	769	0.447363	1861	23059	0.0168578280484801	FALSE	0.0089976478003137	FALSE	NA
"1862"	"chr11-47"	"chr11"	47000001	48000000	"."	1000000	1343	1309	949	728	1077	1031	1340	1143	1209	732	2236	594	632	211	3401	2331	872	1328	726	0.464416	1862	23192	0.0116077388121655	FALSE	0.00760913854499876	FALSE	NA
"1863"	"chr11-48"	"chr11"	48000001	49000000	"."	1000000	1371	1336	1068	814	1077	1009	1320	1160	1197	1006	2099	568	728	218	3197	2206	757	1246	881	0.39395	1863	23258	0.027846551733152	FALSE	0.0122186939617932	FALSE	NA
"1864"	"chr11-49"	"chr11"	49000001	50000000	"."	1000000	1370	1235	853	738	1115	998	1348	1069	1187	682	1902	600	693	189	2940	2076	748	1252	821	0.364912	1864	21816	0.00936988907414039	FALSE	0.00936988907414039	FALSE	NA
"1865"	"chr11-50"	"chr11"	50000001	51000000	"."	1000000	1109	1054	858	691	842	974	1085	1020	1022	706	1761	453	626	164	3103	2268	742	1208	714	0.318075	1865	20400	0.0205297112682004	TRUE	NA	FALSE	NA
"1866"	"chr11-51"	"chr11"	51000001	52000000	"."	1000000	1983	1664	1078	956	1101	1286	1556	1510	1257	994	1855	799	629	268	3054	2230	884	1269	1022	0.368885	1866	25395	0.0935224629948083	FALSE	NA	TRUE	NA
"1867"	"chr11-52"	"chr11"	52000001	53000000	"."	1000000	1874	1346	964	801	1081	1120	1547	1310	1290	920	1789	722	602	245	2842	2162	760	1225	895	0.400982	1867	23495	0.0724244462978765	FALSE	NA	TRUE	NA
"1868"	"chr11-53"	"chr11"	53000001	54000000	"."	1000000	1580	1074	855	695	800	989	1337	949	967	735	1594	588	497	216	2548	1818	610	1042	675	0.400806	1868	19569	0.0872308722521371	FALSE	NA	TRUE	NA
"1869"	"chr11-54"	"chr11"	54000001	55000000	"."	1000000	1277	998	796	620	837	840	1110	904	1053	695	1602	500	515	180	2486	1819	649	989	676	0.349393	1869	18546	0.0170311647333208	FALSE	0.0115823015215	FALSE	NA
"1870"	"chr11-55"	"chr11"	55000001	56000000	"."	1000000	1338	1181	865	681	990	1040	1186	1076	1316	697	1870	579	682	173	2972	2073	764	1115	853	0.366388	1870	21451	0.0126810558345484	FALSE	0.0126810558345484	FALSE	NA
"1871"	"chr11-56"	"chr11"	56000001	57000000	"."	1000000	1400	1286	849	803	1070	1096	1317	1024	1260	730	1893	620	692	226	3171	2146	752	1259	831	0.364136	1871	22425	0.0140769904753442	FALSE	0.0140769904753442	FALSE	NA
"1872"	"chr11-57"	"chr11"	57000001	58000000	"."	1000000	1362	1237	1017	748	1074	978	1317	1160	1273	767	2298	612	712	203	3651	2382	844	1257	849	0.451295	1872	23741	0.0081652698454174	FALSE	0.0081652698454174	FALSE	NA
"1873"	"chr11-58"	"chr11"	58000001	59000000	"."	1000000	1405	1234	989	727	1058	1045	1265	1057	1285	788	1867	578	693	206	3221	2297	783	1268	861	0.384835	1873	22627	0.00469842133969955	FALSE	0.00311027566131485	FALSE	NA
"1874"	"chr11-59"	"chr11"	59000001	60000000	"."	1000000	1393	1291	984	775	1050	1078	1330	1114	1282	815	2079	589	686	206	3357	2379	823	1289	859	0.407877	1874	23379	0.00171439890353642	FALSE	0.00171439890353642	FALSE	NA
"1875"	"chr11-60"	"chr11"	60000001	61000000	"."	1000000	1385	1284	1001	767	1086	959	1257	1076	1291	820	2094	565	754	215	3304	2342	871	1294	863	0.419084	1875	23228	0.00667499961319726	FALSE	0.0045997394202028	FALSE	NA
"1876"	"chr11-61"	"chr11"	61000001	62000000	"."	1000000	1437	1325	1003	806	1090	1011	1306	1142	1281	827	2326	588	714	227	3591	2393	953	1335	833	0.514449	1876	24188	0.0100842355495854	FALSE	0.0100842355495854	FALSE	NA
"1877"	"chr11-62"	"chr11"	62000001	63000000	"."	1000000	1464	1329	1065	677	1015	1087	1263	1157	1215	769	2237	590	698	213	3603	2382	939	1384	771	0.47844	1877	23858	0.0176585086049005	FALSE	0.0176585086049005	FALSE	NA
"1878"	"chr11-63"	"chr11"	63000001	64000000	"."	1000000	1336	1237	1084	716	1121	966	1280	1120	1241	873	2114	584	707	206	3393	2451	825	1307	812	0.439805	1878	23373	0.0118691482715544	FALSE	0.00811490806120527	FALSE	NA
"1879"	"chr11-64"	"chr11"	64000001	65000000	"."	1000000	1342	1298	986	719	1111	908	1262	1247	1129	772	2296	569	705	218	3632	2325	948	1346	751	0.542677	1879	23564	0.0258527295822892	FALSE	0.0258527295822892	FALSE	NA
"1880"	"chr11-65"	"chr11"	65000001	66000000	"."	1000000	1308	1341	953	756	1137	1017	1223	1111	1162	755	2367	586	660	197	3657	2407	896	1395	684	0.517805	1880	23612	0.0250376994676619	FALSE	0.0172754229302341	FALSE	NA
"1881"	"chr11-66"	"chr11"	66000001	67000000	"."	1000000	1412	1359	1007	744	1138	997	1248	1182	1303	767	2188	516	685	196	3565	2375	830	1400	701	0.495156	1881	23613	0.0194437617849652	FALSE	0.0133027107267661	FALSE	NA
"1882"	"chr11-67"	"chr11"	67000001	68000000	"."	1000000	1351	1428	1078	707	1080	1046	1261	1216	1220	833	2142	550	687	194	3467	2391	899	1340	853	0.500752	1882	23743	0.0156080513728421	FALSE	0.0156080513728421	FALSE	NA
"1883"	"chr11-68"	"chr11"	68000001	69000000	"."	1000000	1385	1398	1010	757	1124	973	1229	1138	1160	784	2146	591	618	194	3456	2283	890	1294	722	0.486826	1883	23152	0.0188469129158452	FALSE	0.0188469129158452	FALSE	NA
"1884"	"chr11-69"	"chr11"	69000001	70000000	"."	1000000	1310	1382	958	736	1017	1028	1298	1176	1306	804	2287	611	663	195	3716	2519	947	1336	732	0.519158	1884	24021	0.0204204216876046	FALSE	0.0204204216876046	FALSE	NA
"1885"	"chr11-70"	"chr11"	70000001	71000000	"."	1000000	1378	1360	926	798	1035	1038	1302	1097	1091	779	2210	581	671	179	3507	2270	908	1317	724	0.486296	1885	23171	0.0204667925390553	FALSE	0.0204667925390553	FALSE	NA
"1886"	"chr11-71"	"chr11"	71000001	72000000	"."	1000000	1298	1189	895	744	1065	918	1275	1182	1191	715	2170	550	689	191	3341	2292	840	1255	736	0.446094	1886	22536	0.0123628995795702	FALSE	0.0123628995795702	FALSE	NA
"1887"	"chr11-72"	"chr11"	72000001	73000000	"."	1000000	1443	1267	1004	791	1081	1078	1284	1183	1230	828	2384	585	657	200	3426	2351	941	1362	757	0.471071	1887	23852	0.0162874385771538	FALSE	0.0162874385771538	FALSE	NA
"1888"	"chr11-73"	"chr11"	73000001	74000000	"."	1000000	1314	1336	1008	802	1109	1045	1239	1135	1203	827	2118	553	646	200	3387	2439	816	1277	761	0.449904	1888	23215	0.0120806762622958	FALSE	0.0120806762622958	FALSE	NA
"1889"	"chr11-74"	"chr11"	74000001	75000000	"."	1000000	1385	1300	992	696	956	920	1376	1116	1231	847	2061	567	759	184	3208	2409	838	1338	823	0.417561	1889	23006	0.0147103530191897	FALSE	0.0147103530191897	FALSE	NA
"1890"	"chr11-75"	"chr11"	75000001	76000000	"."	1000000	1350	1306	1031	693	1167	1010	1257	1014	1252	818	2123	642	742	182	3596	2475	769	1403	746	0.465316	1890	23576	0.0201320717407103	FALSE	0.0201320717407103	FALSE	NA
"1891"	"chr11-76"	"chr11"	76000001	77000000	"."	1000000	1374	1338	995	747	1038	999	1330	1202	1286	798	2127	642	698	193	3516	2307	893	1299	895	0.449604	1891	23677	0.00770394768600668	FALSE	0.00770394768600668	FALSE	NA
"1892"	"chr11-77"	"chr11"	77000001	78000000	"."	1000000	1371	1336	972	769	1017	992	1320	1158	1244	802	1996	639	722	188	3336	2357	886	1456	793	0.43083	1892	23354	0.0116818490754406	FALSE	0.0116818490754406	FALSE	NA
"1893"	"chr11-78"	"chr11"	78000001	79000000	"."	1000000	1303	1434	1003	834	1057	1036	1363	1195	1288	796	2277	622	752	199	3536	2417	841	1321	844	0.433261	1893	24118	0.00913770843614804	FALSE	0.00913770843614804	FALSE	NA
"1894"	"chr11-79"	"chr11"	79000001	80000000	"."	1000000	1401	1368	1019	845	1124	991	1366	1152	1308	825	2089	606	688	223	3382	2423	906	1328	899	0.419582	1894	23943	0.00722643308198084	FALSE	0.00517452181483329	FALSE	NA
"1895"	"chr11-80"	"chr11"	80000001	81000000	"."	1000000	1375	1294	858	703	1145	1103	1328	1149	1263	723	2073	605	695	202	3255	2113	779	1258	819	0.373722	1895	22740	0.00773235641452441	FALSE	0.00773235641452441	FALSE	NA
"1896"	"chr11-81"	"chr11"	81000001	82000000	"."	1000000	1358	1271	911	776	956	1060	1275	964	1312	742	1937	552	687	195	2936	2177	776	1218	898	0.357633	1896	22001	0.0119038726129242	FALSE	0.0119038726129242	FALSE	NA
"1897"	"chr11-82"	"chr11"	82000001	83000000	"."	1000000	1392	1241	821	804	1055	1016	1310	1101	1186	790	2002	571	766	237	3098	2142	793	1164	831	0.377856	1897	22320	0.0193435825997552	FALSE	0.0124970129326431	FALSE	NA
"1898"	"chr11-83"	"chr11"	83000001	84000000	"."	1000000	1325	1291	924	792	1047	957	1320	1082	1279	712	2079	594	738	210	3314	2248	800	1237	808	0.39144	1898	22757	0.00643516598481586	FALSE	0.00643516598481586	FALSE	NA
"1899"	"chr11-84"	"chr11"	84000001	85000000	"."	1000000	1356	1325	908	664	1048	1067	1229	1101	1245	818	1831	603	750	205	3205	2282	712	1220	775	0.36559	1899	22344	0.013297887497734	FALSE	0.013297887497734	FALSE	NA
"1900"	"chr11-85"	"chr11"	85000001	86000000	"."	1000000	1347	1275	967	806	1144	1058	1337	1120	1248	741	1994	581	745	195	3134	2235	858	1214	803	0.380858	1900	22802	0.00706026215424455	FALSE	0.00706026215424455	FALSE	NA
"1901"	"chr11-86"	"chr11"	86000001	87000000	"."	1000000	1392	1236	1037	747	1105	1119	1310	1189	1280	876	2087	663	720	217	3390	2447	877	1286	788	0.409705	1901	23766	0.00960974967697416	FALSE	0.00960974967697416	FALSE	NA
"1902"	"chr11-87"	"chr11"	87000001	88000000	"."	1000000	1315	1271	917	736	981	1017	1291	1090	1151	733	1882	586	716	197	3070	2187	727	1265	741	0.37055	1902	21873	0.00701847439044214	FALSE	0.00701847439044214	FALSE	NA
"1903"	"chr11-88"	"chr11"	88000001	89000000	"."	1000000	1313	1269	998	675	1099	1018	1282	1033	1219	738	1936	579	696	196	3142	2187	779	1207	807	0.368173	1903	22173	0.00456799225686623	FALSE	0.00269852161067534	FALSE	NA
"1904"	"chr11-89"	"chr11"	89000001	90000000	"."	1000000	1374	1210	921	755	1051	1023	1391	1010	1219	735	1985	606	713	201	3008	2148	791	1221	749	0.363736	1904	22111	0.00730414166178604	FALSE	0.00730414166178604	FALSE	NA
"1905"	"chr11-90"	"chr11"	90000001	91000000	"."	1000000	1252	1228	851	710	1040	1076	1276	997	1250	669	1857	614	735	211	3041	2063	719	1228	837	0.357853	1905	21654	0.0140040611118822	FALSE	0.0140040611118822	FALSE	NA
"1906"	"chr11-91"	"chr11"	91000001	92000000	"."	1000000	1310	1282	842	750	1124	1112	1264	994	1172	635	1951	579	703	166	3154	2181	727	1193	870	0.360823	1906	22009	0.0207830261560034	FALSE	0.0207830261560034	FALSE	NA
"1907"	"chr11-92"	"chr11"	92000001	93000000	"."	1000000	1409	1284	993	765	1029	960	1321	1107	1258	794	1980	577	780	221	3228	2357	844	1351	753	0.396484	1907	23011	0.0113112563680981	FALSE	0.0113112563680981	FALSE	NA
"1908"	"chr11-93"	"chr11"	93000001	94000000	"."	1000000	1408	1284	1006	748	1078	1091	1309	1063	1352	780	1951	644	691	221	3288	2281	807	1245	848	0.400612	1908	23095	0.00695561295002874	FALSE	0.00695561295002874	FALSE	NA
"1909"	"chr11-94"	"chr11"	94000001	95000000	"."	1000000	1468	1369	1075	777	1071	1093	1362	1134	1265	825	2186	682	720	196	3550	2492	911	1426	822	0.407854	1909	24424	0.0101065718149425	FALSE	0.0101065718149425	FALSE	NA
"1910"	"chr11-95"	"chr11"	95000001	96000000	"."	1000000	1408	1331	1028	716	1114	1021	1338	1072	1277	703	2106	603	690	203	3195	2275	899	1190	849	0.390716	1910	23018	0.0090986979208853	FALSE	0.0090986979208853	FALSE	NA
"1911"	"chr11-96"	"chr11"	96000001	97000000	"."	1000000	1443	1267	978	706	1051	1015	1222	963	1182	801	2001	623	724	229	3086	2332	785	1302	830	0.378844	1911	22540	0.014255573699772	FALSE	0.014255573699772	FALSE	NA
"1912"	"chr11-97"	"chr11"	97000001	98000000	"."	1000000	1215	1303	826	744	1096	1080	1370	984	1221	667	1949	631	651	192	2946	2157	739	1078	756	0.357265	1912	21605	0.0203458720235325	FALSE	0.0203458720235325	FALSE	NA
"1913"	"chr11-98"	"chr11"	98000001	99000000	"."	1000000	1381	1175	815	738	1105	1032	1340	964	1318	669	1832	571	733	228	2871	2123	714	1075	856	0.355164	1913	21540	0.0281035588880229	FALSE	0.0281035588880229	FALSE	NA
"1914"	"chr11-99"	"chr11"	99000001	100000000	"."	1000000	1326	1196	780	718	1077	1092	1322	922	1181	694	1781	556	670	200	2895	2110	734	1066	792	0.34798	1914	21112	0.0169827933447105	FALSE	0.0169827933447105	FALSE	NA
"1915"	"chr11-100"	"chr11"	100000001	101000000	"."	1000000	1391	1259	832	757	1086	1126	1368	1112	1309	755	2031	604	680	199	3151	2097	707	1225	763	0.374506	1915	22452	0.0133177240547143	FALSE	0.0133177240547143	FALSE	NA
"1916"	"chr11-101"	"chr11"	101000001	102000000	"."	1000000	1304	1229	983	715	1019	1022	1306	1060	1234	746	2021	585	776	186	3122	2386	779	1210	909	0.37692	1916	22592	0.00989727132388802	FALSE	0.00674086461206105	FALSE	NA
"1917"	"chr11-102"	"chr11"	102000001	103000000	"."	1000000	1395	1331	946	795	1144	1019	1267	1063	1216	889	1874	598	653	191	3234	2358	875	1335	804	0.398806	1917	22987	0.0145107263358926	FALSE	0.0145107263358926	FALSE	NA
"1918"	"chr11-103"	"chr11"	103000001	104000000	"."	1000000	1449	1224	921	687	1085	961	1379	1108	1313	720	1966	628	751	237	3039	2130	744	1185	915	0.370713	1918	22442	0.0230080370765709	FALSE	0.0230080370765709	FALSE	NA
"1919"	"chr11-104"	"chr11"	104000001	105000000	"."	1000000	1336	1239	962	772	998	1083	1271	955	1200	812	1958	589	653	207	3078	2242	705	1221	796	0.358881	1919	22077	0.0120129724091215	FALSE	0.0120129724091215	FALSE	NA
"1920"	"chr11-105"	"chr11"	105000001	106000000	"."	1000000	1347	1249	915	715	1007	1112	1310	994	1154	713	1870	590	754	148	3103	2150	806	1246	847	0.356228	1920	22030	0.0223648861092445	FALSE	0.00969911324113944	FALSE	NA
"1921"	"chr11-106"	"chr11"	106000001	107000000	"."	1000000	1363	1271	874	804	1002	1076	1302	1139	1238	709	2010	619	722	225	3194	2236	743	1254	904	0.369361	1921	22685	0.0136323163586524	FALSE	0.0136323163586524	FALSE	NA
"1922"	"chr11-107"	"chr11"	107000001	108000000	"."	1000000	1347	1191	974	759	1168	1025	1332	1043	1316	730	2073	551	707	201	3099	2419	829	1383	881	0.393804	1922	23028	0.00868470827471093	FALSE	0.00868470827471093	FALSE	NA
"1923"	"chr11-108"	"chr11"	108000001	109000000	"."	1000000	1506	1371	994	798	1092	1095	1340	1074	1332	791	1971	597	736	214	3218	2339	757	1197	823	0.392336	1923	23245	0.0102696387666535	FALSE	0.0102696387666535	FALSE	NA
"1924"	"chr11-109"	"chr11"	109000001	110000000	"."	1000000	1253	1292	1027	736	1070	1051	1357	1052	1341	750	1967	562	753	219	3250	2343	775	1301	849	0.383667	1924	22948	0.00874792568880734	FALSE	0.00874792568880734	FALSE	NA
"1925"	"chr11-110"	"chr11"	110000001	111000000	"."	1000000	1383	1272	910	767	1012	1037	1310	1093	1269	782	2065	562	716	203	3255	2251	869	1244	854	0.396063	1925	22854	0.0033146716583577	FALSE	0.0033146716583577	FALSE	NA
"1926"	"chr11-111"	"chr11"	111000001	112000000	"."	1000000	1478	1330	948	742	1156	950	1317	1159	1287	866	2103	661	670	201	3504	2433	818	1329	834	0.414629	1926	23786	0.0116192791730512	FALSE	0.0116192791730512	FALSE	NA
"1927"	"chr11-112"	"chr11"	112000001	113000000	"."	1000000	1418	1433	1115	786	1106	1033	1324	1191	1227	809	2156	636	751	195	3509	2453	831	1315	808	0.423824	1927	24096	0.0119458600216379	FALSE	0.00830320513067125	FALSE	NA
"1928"	"chr11-113"	"chr11"	113000001	114000000	"."	1000000	1393	1462	975	817	1072	944	1311	1204	1242	817	2225	615	714	203	3489	2306	783	1386	770	0.436908	1928	23728	0.0155730137863848	FALSE	0.0155730137863848	FALSE	NA
"1929"	"chr11-114"	"chr11"	114000001	115000000	"."	1000000	1477	1301	981	753	1101	978	1350	1114	1310	773	2193	622	703	223	3431	2288	853	1215	863	0.420482	1929	23529	0.00652504673212901	FALSE	0.00652504673212901	FALSE	NA
"1930"	"chr11-115"	"chr11"	115000001	116000000	"."	1000000	1358	1406	1010	752	1067	1057	1365	1128	1281	812	2168	583	735	162	3453	2343	842	1312	812	0.420905	1930	23646	0.0146642019628935	FALSE	0.00413378364860046	FALSE	NA
"1931"	"chr11-116"	"chr11"	116000001	117000000	"."	1000000	1365	1242	985	802	1093	1036	1386	1159	1258	816	2400	610	729	206	3635	2499	873	1316	817	0.451747	1931	24227	0.00838117160295191	FALSE	0.0054467291177477	FALSE	NA
"1932"	"chr11-117"	"chr11"	117000001	118000000	"."	1000000	1472	1331	1104	810	1030	1003	1389	1165	1211	790	2257	625	640	205	3646	2424	862	1389	776	0.479335	1932	24129	0.0173786909818275	FALSE	0.0173786909818275	FALSE	NA
"1933"	"chr11-118"	"chr11"	118000001	119000000	"."	1000000	1432	1348	1064	690	1076	967	1234	1134	1261	777	2159	568	668	186	3536	2426	872	1302	794	0.462911	1933	23494	0.0157007107245162	FALSE	0.0157007107245162	FALSE	NA
"1934"	"chr11-119"	"chr11"	119000001	120000000	"."	1000000	1546	1323	1008	820	1117	939	1377	1252	1238	769	2389	584	749	184	3650	2593	924	1345	781	0.492271	1934	24588	0.0246772437033953	FALSE	0.0246772437033953	FALSE	NA
"1935"	"chr11-120"	"chr11"	120000001	121000000	"."	1000000	1392	1382	1067	776	1121	1076	1383	1262	1275	823	2297	597	695	219	3595	2531	892	1360	910	0.465153	1935	24653	0.00658918947743529	FALSE	0.00658918947743529	FALSE	NA
"1936"	"chr11-121"	"chr11"	121000001	122000000	"."	1000000	1401	1275	914	780	1065	1093	1255	1116	1258	826	2011	599	685	194	3518	2478	870	1443	791	0.412091	1936	23572	0.0103084033128917	FALSE	0.0103084033128917	FALSE	NA
"1937"	"chr11-122"	"chr11"	122000001	123000000	"."	1000000	1384	1283	935	806	1115	1033	1309	1131	1335	706	2085	569	701	206	3238	2475	838	1241	872	0.41084	1937	23262	0.00695299268217188	FALSE	0.00488219887625986	FALSE	NA
"1938"	"chr11-123"	"chr11"	123000001	124000000	"."	1000000	1431	1363	1019	763	1013	999	1414	1116	1281	833	2256	536	721	194	3499	2348	791	1316	799	0.428453	1938	23692	0.011918577620649	FALSE	0.011918577620649	FALSE	NA
"1939"	"chr11-124"	"chr11"	124000001	125000000	"."	1000000	1399	1248	954	773	970	1015	1324	1119	1255	767	2046	709	725	212	3358	2180	766	1301	855	0.401212	1939	22976	0.014394295468415	FALSE	0.00591943955994405	FALSE	NA
"1940"	"chr11-125"	"chr11"	125000001	126000000	"."	1000000	1401	1285	964	748	1117	982	1302	1160	1270	774	2142	548	682	228	3535	2353	867	1398	835	0.438967	1940	23591	0.00914032596010201	FALSE	0.00914032596010201	FALSE	NA
"1941"	"chr11-126"	"chr11"	126000001	127000000	"."	1000000	1467	1429	1063	746	1124	1018	1311	1181	1318	785	2290	592	721	228	3482	2429	881	1400	880	0.468416	1941	24345	0.00804471273849753	FALSE	0.00804471273849753	FALSE	NA
"1942"	"chr11-127"	"chr11"	127000001	128000000	"."	1000000	1355	1304	868	723	1129	1100	1385	1030	1281	778	1938	611	745	211	3173	2348	792	1248	775	0.390724	1942	22794	0.00840546557355829	FALSE	0.00840546557355829	FALSE	NA
"1943"	"chr11-128"	"chr11"	128000001	129000000	"."	1000000	1301	1280	1098	771	1099	1120	1332	1108	1365	865	2358	589	746	232	3447	2278	826	1427	783	0.421887	1943	24025	0.0153055557902673	FALSE	0.0153055557902673	FALSE	NA
"1944"	"chr11-129"	"chr11"	129000001	130000000	"."	1000000	1360	1331	967	781	1020	1045	1348	1190	1224	837	2119	591	685	202	3282	2335	773	1319	845	0.410459	1944	23254	0.00584703824734724	FALSE	0.00584703824734724	FALSE	NA
"1945"	"chr11-130"	"chr11"	130000001	131000000	"."	1000000	1429	1351	1023	726	1111	999	1301	1286	1234	852	2291	644	771	206	3448	2380	822	1313	848	0.439652	1945	24035	0.0117343987941443	FALSE	0.0117343987941443	FALSE	NA
"1946"	"chr11-131"	"chr11"	131000001	132000000	"."	1000000	1498	1354	965	851	1068	1075	1409	1177	1225	761	2235	597	717	214	3606	2601	923	1437	894	0.431392	1946	24607	0.010197037932621	FALSE	0.010197037932621	FALSE	NA
"1947"	"chr11-132"	"chr11"	132000001	133000000	"."	1000000	1342	1296	987	726	1152	1097	1386	1201	1365	713	2193	582	715	186	3529	2521	949	1455	1047	0.415831	1947	24442	0.0226598821681563	FALSE	0.0157988239516717	FALSE	NA
"1948"	"chr11-133"	"chr11"	133000001	134000000	"."	1000000	1415	1422	987	765	1144	1086	1308	1237	1246	848	2091	607	799	211	3266	2547	854	1408	1101	0.440878	1948	24342	0.0200869984530728	FALSE	0.00849465350315901	FALSE	NA
"1949"	"chr11-134"	"chr11"	134000001	135000000	"."	1000000	1460	1554	962	821	1124	1133	1427	1173	1305	838	2238	577	708	213	3660	2573	921	1404	1175	0.466378	1949	25266	0.0278006691497502	FALSE	0.0102649471643492	FALSE	NA
"1950"	"chr11-135"	"chr11"	135000001	135086622	"."	86622	136	89	62	57	78	108	131	109	64	40	218	45	58	24	296	242	55	128	68	0.397867	1950	2008	0.217620336317771	FALSE	NA	TRUE	NA
"1951"	"chr12-0"	"chr12"	1	1000000	"."	1000000	1411	1395	1102	774	1107	1064	1396	1120	1201	857	2222	503	734	207	3407	2500	886	1395	1131	0.450031	1951	24412	0.0321031653455322	FALSE	0.0161418712157797	FALSE	NA
"1952"	"chr12-1"	"chr12"	1000001	2000000	"."	1000000	1450	1385	1022	725	1117	995	1284	1095	1253	857	2220	549	730	184	3403	2160	810	1285	1039	0.424885	1952	23563	0.0238665199496144	FALSE	0.0143550312400217	FALSE	NA
"1953"	"chr12-2"	"chr12"	2000001	3000000	"."	1000000	1468	1352	1013	807	1111	1058	1396	1220	1307	830	2248	632	682	206	3775	2566	969	1422	923	0.474528	1953	24985	0.00887806012797812	FALSE	0.00887806012797812	FALSE	NA
"1954"	"chr12-3"	"chr12"	3000001	4000000	"."	1000000	1504	1419	959	789	1070	1039	1330	1210	1290	807	2287	656	711	207	3472	2433	870	1405	913	0.470648	1954	24371	0.00711022401506352	FALSE	0.00711022401506352	FALSE	NA
